model,class,idx,recall,precision,ap
EfficientNetB0,Nitrogen,0,0.000000,0.995000,0.953445
EfficientNetB0,Nitrogen,1,0.005025,0.995000,0.953445
EfficientNetB0,Nitrogen,2,0.010050,0.995000,0.953445
EfficientNetB0,Nitrogen,3,0.015075,0.995000,0.953445
EfficientNetB0,Nitrogen,4,0.020101,0.991946,0.953445
EfficientNetB0,Nitrogen,5,0.025126,0.991946,0.953445
EfficientNetB0,Nitrogen,6,0.030151,0.991946,0.953445
EfficientNetB0,Nitrogen,7,0.035176,0.991946,0.953445
EfficientNetB0,Nitrogen,8,0.040201,0.991946,0.953445
EfficientNetB0,Nitrogen,9,0.045226,0.990332,0.953445
EfficientNetB0,Nitrogen,10,0.050251,0.990332,0.953445
EfficientNetB0,Nitrogen,11,0.055276,0.990332,0.953445
EfficientNetB0,Nitrogen,12,0.060302,0.990332,0.953445
EfficientNetB0,Nitrogen,13,0.065327,0.990332,0.953445
EfficientNetB0,Nitrogen,14,0.070352,0.977818,0.953445
EfficientNetB0,Nitrogen,15,0.075377,0.977818,0.953445
EfficientNetB0,Nitrogen,16,0.080402,0.975773,0.953445
EfficientNetB0,Nitrogen,17,0.085427,0.975773,0.953445
EfficientNetB0,Nitrogen,18,0.090452,0.975773,0.953445
EfficientNetB0,Nitrogen,19,0.095477,0.975773,0.953445
EfficientNetB0,Nitrogen,20,0.100503,0.975773,0.953445
EfficientNetB0,Nitrogen,21,0.105528,0.975773,0.953445
EfficientNetB0,Nitrogen,22,0.110553,0.975773,0.953445
EfficientNetB0,Nitrogen,23,0.115578,0.975773,0.953445
EfficientNetB0,Nitrogen,24,0.120603,0.975773,0.953445
EfficientNetB0,Nitrogen,25,0.125628,0.975773,0.953445
EfficientNetB0,Nitrogen,26,0.130653,0.975773,0.953445
EfficientNetB0,Nitrogen,27,0.135678,0.975773,0.953445
EfficientNetB0,Nitrogen,28,0.140704,0.975773,0.953445
EfficientNetB0,Nitrogen,29,0.145729,0.975773,0.953445
EfficientNetB0,Nitrogen,30,0.150754,0.975773,0.953445
EfficientNetB0,Nitrogen,31,0.155779,0.975773,0.953445
EfficientNetB0,Nitrogen,32,0.160804,0.975773,0.953445
EfficientNetB0,Nitrogen,33,0.165829,0.975773,0.953445
EfficientNetB0,Nitrogen,34,0.170854,0.975349,0.953445
EfficientNetB0,Nitrogen,35,0.175879,0.975349,0.953445
EfficientNetB0,Nitrogen,36,0.180905,0.975349,0.953445
EfficientNetB0,Nitrogen,37,0.185930,0.975349,0.953445
EfficientNetB0,Nitrogen,38,0.190955,0.975349,0.953445
