model,class,idx,recall,precision,ap
RandomForest,Nitrogen,0,0.000000,0.950000,0.900831
RandomForest,Nitrogen,1,0.005025,0.950000,0.900831
RandomForest,Nitrogen,2,0.010050,0.950000,0.900831
RandomForest,Nitrogen,3,0.015075,0.950000,0.900831
RandomForest,Nitrogen,4,0.020101,0.946946,0.900831
RandomForest,Nitrogen,5,0.025126,0.946946,0.900831
RandomForest,Nitrogen,6,0.030151,0.946946,0.900831
RandomForest,Nitrogen,7,0.035176,0.946946,0.900831
RandomForest,Nitrogen,8,0.040201,0.946946,0.900831
RandomForest,Nitrogen,9,0.045226,0.945330,0.900831
RandomForest,Nitrogen,10,0.050251,0.945330,0.900831
RandomForest,Nitrogen,11,0.055276,0.945330,0.900831
RandomForest,Nitrogen,12,0.060302,0.945330,0.900831
RandomForest,Nitrogen,13,0.065327,0.945330,0.900831
RandomForest,Nitrogen,14,0.070352,0.932811,0.900831
RandomForest,Nitrogen,15,0.075377,0.932811,0.900831
RandomForest,Nitrogen,16,0.080402,0.930762,0.900831
RandomForest,Nitrogen,17,0.085427,0.930762,0.900831
RandomForest,Nitrogen,18,0.090452,0.930762,0.900831
RandomForest,Nitrogen,19,0.095477,0.930762,0.900831
RandomForest,Nitrogen,20,0.100503,0.930762,0.900831
RandomForest,Nitrogen,21,0.105528,0.930762,0.900831
RandomForest,Nitrogen,22,0.110553,0.930762,0.900831
RandomForest,Nitrogen,23,0.115578,0.930762,0.900831
RandomForest,Nitrogen,24,0.120603,0.930762,0.900831
RandomForest,Nitrogen,25,0.125628,0.930762,0.900831
RandomForest,Nitrogen,26,0.130653,0.930762,0.900831
RandomForest,Nitrogen,27,0.135678,0.930762,0.900831
RandomForest,Nitrogen,28,0.140704,0.930762,0.900831
RandomForest,Nitrogen,29,0.145729,0.930762,0.900831
RandomForest,Nitrogen,30,0.150754,0.930762,0.900831
RandomForest,Nitrogen,31,0.155779,0.930762,0.900831
RandomForest,Nitrogen,32,0.160804,0.930762,0.900831
RandomForest,Nitrogen,33,0.165829,0.930762,0.900831
RandomForest,Nitrogen,34,0.170854,0.930226,0.900831
RandomForest,Nitrogen,35,0.175879,0.930226,0.900831
RandomForest,Nitrogen,36,0.180905,0.930226,0.900831
RandomForest,Nitrogen,37,0.185930,0.930226,0.900831
RandomForest,Nitrogen,38,0.190955,0.930226,0.900831
RandomForest,Nitrogen,39,0.195980,0.930226,0.900831
RandomForest,Nitrogen,40,0.201005,0.930226,0.900831
RandomForest,Nitrogen,41,0.206030,0.930226,0.900831
RandomForest,Nitrogen,42,0.211055,0.930226,0.900831
RandomForest,Nitrogen,43,0.216080,0.930226,0.900831
RandomForest,Nitrogen,44,0.221106,0.930226,0.900831
RandomForest,Nitrogen,45,0.226131,0.930226,0.900831
RandomForest,Nitrogen,46,0.231156,0.930226,0.900831
RandomForest,Nitrogen,47,0.236181,0.930226,0.900831
RandomForest,Nitrogen,48,0.241206,0.930226,0.900831
RandomForest,Nitrogen,49,0.246231,0.930226,0.900831
RandomForest,Nitrogen,50,0.251256,0.930226,0.900831
RandomForest,Nitrogen,51,0.256281,0.930226,0.900831
RandomForest,Nitrogen,52,0.261307,0.930226,0.900831
RandomForest,Nitrogen,53,0.266332,0.930226,0.900831
RandomForest,Nitrogen,54,0.271357,0.930226,0.900831
RandomForest,Nitrogen,55,0.276382,0.930226,0.900831
RandomForest,Nitrogen,56,0.281407,0.930226,0.900831
RandomForest,Nitrogen,57,0.286432,0.930226,0.900831
RandomForest,Nitrogen,58,0.291457,0.930226,0.900831
RandomForest,Nitrogen,59,0.296482,0.930226,0.900831
RandomForest,Nitrogen,60,0.301508,0.930226,0.900831
RandomForest,Nitrogen,61,0.306533,0.930226,0.900831
RandomForest,Nitrogen,62,0.311558,0.930226,0.900831
RandomForest,Nitrogen,63,0.316583,0.930226,0.900831
RandomForest,Nitrogen,64,0.321608,0.930226,0.900831
RandomForest,Nitrogen,65,0.326633,0.930226,0.900831
RandomForest,Nitrogen,66,0.331658,0.930226,0.900831
RandomForest,Nitrogen,67,0.336683,0.929279,0.900831
RandomForest,Nitrogen,68,0.341709,0.929279,0.900831
RandomForest,Nitrogen,69,0.346734,0.928785,0.900831
RandomForest,Nitrogen,70,0.351759,0.928785,0.900831
RandomForest,Nitrogen,71,0.356784,0.928785,0.900831
RandomForest,Nitrogen,72,0.361809,0.928785,0.900831
RandomForest,Nitrogen,73,0.366834,0.928785,0.900831
RandomForest,Nitrogen,74,0.371859,0.928785,0.900831
RandomForest,Nitrogen,75,0.376884,0.924961,0.900831
RandomForest,Nitrogen,76,0.381910,0.924961,0.900831
RandomForest,Nitrogen,77,0.386935,0.924961,0.900831
RandomForest,Nitrogen,78,0.391960,0.924961,0.900831
RandomForest,Nitrogen,79,0.396985,0.924961,0.900831
RandomForest,Nitrogen,80,0.402010,0.924961,0.900831
RandomForest,Nitrogen,81,0.407035,0.924961,0.900831
RandomForest,Nitrogen,82,0.412060,0.923776,0.900831
RandomForest,Nitrogen,83,0.417085,0.923776,0.900831
RandomForest,Nitrogen,84,0.422111,0.923776,0.900831
RandomForest,Nitrogen,85,0.427136,0.923776,0.900831
RandomForest,Nitrogen,86,0.432161,0.923776,0.900831
RandomForest,Nitrogen,87,0.437186,0.923135,0.900831
RandomForest,Nitrogen,88,0.442211,0.923135,0.900831
RandomForest,Nitrogen,89,0.447236,0.923135,0.900831
RandomForest,Nitrogen,90,0.452261,0.923135,0.900831
RandomForest,Nitrogen,91,0.457286,0.923135,0.900831
RandomForest,Nitrogen,92,0.462312,0.922570,0.900831
RandomForest,Nitrogen,93,0.467337,0.922570,0.900831
RandomForest,Nitrogen,94,0.472362,0.922570,0.900831
RandomForest,Nitrogen,95,0.477387,0.922570,0.900831
RandomForest,Nitrogen,96,0.482412,0.922570,0.900831
RandomForest,Nitrogen,97,0.487437,0.915758,0.900831
RandomForest,Nitrogen,98,0.492462,0.915758,0.900831
RandomForest,Nitrogen,99,0.497487,0.914126,0.900831
RandomForest,Nitrogen,100,0.502513,0.914126,0.900831
RandomForest,Nitrogen,101,0.507538,0.914126,0.900831
RandomForest,Nitrogen,102,0.512563,0.914126,0.900831
RandomForest,Nitrogen,103,0.517588,0.914126,0.900831
RandomForest,Nitrogen,104,0.522613,0.914126,0.900831
RandomForest,Nitrogen,105,0.527638,0.914126,0.900831
RandomForest,Nitrogen,106,0.532663,0.914126,0.900831
RandomForest,Nitrogen,107,0.537688,0.914126,0.900831
RandomForest,Nitrogen,108,0.542714,0.914126,0.900831
RandomForest,Nitrogen,109,0.547739,0.914126,0.900831
RandomForest,Nitrogen,110,0.552764,0.914126,0.900831
RandomForest,Nitrogen,111,0.557789,0.914126,0.900831
RandomForest,Nitrogen,112,0.562814,0.914126,0.900831
RandomForest,Nitrogen,113,0.567839,0.914126,0.900831
RandomForest,Nitrogen,114,0.572864,0.914126,0.900831
RandomForest,Nitrogen,115,0.577889,0.914126,0.900831
RandomForest,Nitrogen,116,0.582915,0.914126,0.900831
RandomForest,Nitrogen,117,0.587940,0.914126,0.900831
RandomForest,Nitrogen,118,0.592965,0.914126,0.900831
RandomForest,Nitrogen,119,0.597990,0.914126,0.900831
RandomForest,Nitrogen,120,0.603015,0.914126,0.900831
RandomForest,Nitrogen,121,0.608040,0.914126,0.900831
RandomForest,Nitrogen,122,0.613065,0.914126,0.900831
RandomForest,Nitrogen,123,0.618090,0.914126,0.900831
RandomForest,Nitrogen,124,0.623116,0.913939,0.900831
RandomForest,Nitrogen,125,0.628141,0.913939,0.900831
RandomForest,Nitrogen,126,0.633166,0.896018,0.900831
RandomForest,Nitrogen,127,0.638191,0.896018,0.900831
RandomForest,Nitrogen,128,0.643216,0.896018,0.900831
RandomForest,Nitrogen,129,0.648241,0.896018,0.900831
RandomForest,Nitrogen,130,0.653266,0.896018,0.900831
RandomForest,Nitrogen,131,0.658291,0.896018,0.900831
RandomForest,Nitrogen,132,0.663317,0.895092,0.900831
RandomForest,Nitrogen,133,0.668342,0.895092,0.900831
RandomForest,Nitrogen,134,0.673367,0.895092,0.900831
RandomForest,Nitrogen,135,0.678392,0.895092,0.900831
RandomForest,Nitrogen,136,0.683417,0.895092,0.900831
RandomForest,Nitrogen,137,0.688442,0.895092,0.900831
RandomForest,Nitrogen,138,0.693467,0.895092,0.900831
RandomForest,Nitrogen,139,0.698492,0.895092,0.900831
RandomForest,Nitrogen,140,0.703518,0.895092,0.900831
RandomForest,Nitrogen,141,0.708543,0.894899,0.900831
RandomForest,Nitrogen,142,0.713568,0.894899,0.900831
RandomForest,Nitrogen,143,0.718593,0.894899,0.900831
RandomForest,Nitrogen,144,0.723618,0.894899,0.900831
RandomForest,Nitrogen,145,0.728643,0.894899,0.900831
RandomForest,Nitrogen,146,0.733668,0.878330,0.900831
RandomForest,Nitrogen,147,0.738693,0.878330,0.900831
RandomForest,Nitrogen,148,0.743719,0.878330,0.900831
RandomForest,Nitrogen,149,0.748744,0.878330,0.900831
RandomForest,Nitrogen,150,0.753769,0.875269,0.900831
RandomForest,Nitrogen,151,0.758794,0.875269,0.900831
RandomForest,Nitrogen,152,0.763819,0.873162,0.900831
RandomForest,Nitrogen,153,0.768844,0.873162,0.900831
RandomForest,Nitrogen,154,0.773869,0.868910,0.900831
RandomForest,Nitrogen,155,0.778894,0.868910,0.900831
RandomForest,Nitrogen,156,0.783920,0.868910,0.900831
RandomForest,Nitrogen,157,0.788945,0.868910,0.900831
RandomForest,Nitrogen,158,0.793970,0.868910,0.900831
RandomForest,Nitrogen,159,0.798995,0.859614,0.900831
RandomForest,Nitrogen,160,0.804020,0.859614,0.900831
