model,class,idx,recall,precision,ap
Rule-Based,Nitrogen,0,0.000000,0.990000,0.943018
Rule-Based,Nitrogen,1,0.005025,0.990000,0.943018
Rule-Based,Nitrogen,2,0.010050,0.990000,0.943018
Rule-Based,Nitrogen,3,0.015075,0.990000,0.943018
Rule-Based,Nitrogen,4,0.020101,0.986946,0.943018
Rule-Based,Nitrogen,5,0.025126,0.986946,0.943018
Rule-Based,Nitrogen,6,0.030151,0.986946,0.943018
Rule-Based,Nitrogen,7,0.035176,0.986946,0.943018
Rule-Based,Nitrogen,8,0.040201,0.986946,0.943018
Rule-Based,Nitrogen,9,0.045226,0.985331,0.943018
Rule-Based,Nitrogen,10,0.050251,0.985331,0.943018
Rule-Based,Nitrogen,11,0.055276,0.985331,0.943018
Rule-Based,Nitrogen,12,0.060302,0.985331,0.943018
Rule-Based,Nitrogen,13,0.065327,0.985331,0.943018
Rule-Based,Nitrogen,14,0.070352,0.972813,0.943018
Rule-Based,Nitrogen,15,0.075377,0.972813,0.943018
Rule-Based,Nitrogen,16,0.080402,0.970765,0.943018
Rule-Based,Nitrogen,17,0.085427,0.970765,0.943018
Rule-Based,Nitrogen,18,0.090452,0.970765,0.943018
Rule-Based,Nitrogen,19,0.095477,0.970765,0.943018
Rule-Based,Nitrogen,20,0.100503,0.970765,0.943018
Rule-Based,Nitrogen,21,0.105528,0.970765,0.943018
Rule-Based,Nitrogen,22,0.110553,0.970765,0.943018
Rule-Based,Nitrogen,23,0.115578,0.970765,0.943018
Rule-Based,Nitrogen,24,0.120603,0.970765,0.943018
Rule-Based,Nitrogen,25,0.125628,0.970765,0.943018
Rule-Based,Nitrogen,26,0.130653,0.970765,0.943018
Rule-Based,Nitrogen,27,0.135678,0.970765,0.943018
Rule-Based,Nitrogen,28,0.140704,0.970765,0.943018
Rule-Based,Nitrogen,29,0.145729,0.970765,0.943018
Rule-Based,Nitrogen,30,0.150754,0.970765,0.943018
Rule-Based,Nitrogen,31,0.155779,0.970765,0.943018
Rule-Based,Nitrogen,32,0.160804,0.970765,0.943018
Rule-Based,Nitrogen,33,0.165829,0.970765,0.943018
Rule-Based,Nitrogen,34,0.170854,0.970261,0.943018
Rule-Based,Nitrogen,35,0.175879,0.970261,0.943018
Rule-Based,Nitrogen,36,0.180905,0.970261,0.943018
Rule-Based,Nitrogen,37,0.185930,0.970261,0.943018
Rule-Based,Nitrogen,38,0.190955,0.970261,0.943018
Rule-Based,Nitrogen,39,0.195980,0.970261,0.943018
Rule-Based,Nitrogen,40,0.201005,0.970261,0.943018
Rule-Based,Nitrogen,41,0.206030,0.970261,0.943018
Rule-Based,Nitrogen,42,0.211055,0.970261,0.943018
Rule-Based,Nitrogen,43,0.216080,0.970261,0.943018
Rule-Based,Nitrogen,44,0.221106,0.970261,0.943018
Rule-Based,Nitrogen,45,0.226131,0.970261,0.943018
Rule-Based,Nitrogen,46,0.231156,0.970261,0.943018
Rule-Based,Nitrogen,47,0.236181,0.970261,0.943018
Rule-Based,Nitrogen,48,0.241206,0.970261,0.943018
Rule-Based,Nitrogen,49,0.246231,0.970261,0.943018
Rule-Based,Nitrogen,50,0.251256,0.970261,0.943018
Rule-Based,Nitrogen,51,0.256281,0.970261,0.943018
Rule-Based,Nitrogen,52,0.261307,0.970261,0.943018
Rule-Based,Nitrogen,53,0.266332,0.970261,0.943018
Rule-Based,Nitrogen,54,0.271357,0.970261,0.943018
Rule-Based,Nitrogen,55,0.276382,0.970261,0.943018
Rule-Based,Nitrogen,56,0.281407,0.970261,0.943018
Rule-Based,Nitrogen,57,0.286432,0.970261,0.943018
Rule-Based,Nitrogen,58,0.291457,0.970261,0.943018
Rule-Based,Nitrogen,59,0.296482,0.970261,0.943018
Rule-Based,Nitrogen,60,0.301508,0.970261,0.943018
Rule-Based,Nitrogen,61,0.306533,0.970261,0.943018
Rule-Based,Nitrogen,62,0.311558,0.970261,0.943018
Rule-Based,Nitrogen,63,0.316583,0.970261,0.943018
Rule-Based,Nitrogen,64,0.321608,0.970261,0.943018
Rule-Based,Nitrogen,65,0.326633,0.970261,0.943018
Rule-Based,Nitrogen,66,0.331658,0.970261,0.943018
Rule-Based,Nitrogen,67,0.336683,0.969586,0.943018
Rule-Based,Nitrogen,68,0.341709,0.969586,0.943018
Rule-Based,Nitrogen,69,0.346734,0.969122,0.943018
Rule-Based,Nitrogen,70,0.351759,0.969122,0.943018
Rule-Based,Nitrogen,71,0.356784,0.969122,0.943018
Rule-Based,Nitrogen,72,0.361809,0.969122,0.943018
Rule-Based,Nitrogen,73,0.366834,0.969122,0.943018
Rule-Based,Nitrogen,74,0.371859,0.969122,0.943018
