model,class,idx,recall,precision,ap
SVM,Nitrogen,0,0.000000,0.930000,0.880831
SVM,Nitrogen,1,0.005025,0.930000,0.880831
SVM,Nitrogen,2,0.010050,0.930000,0.880831
SVM,Nitrogen,3,0.015075,0.930000,0.880831
SVM,Nitrogen,4,0.020101,0.926946,0.880831
SVM,Nitrogen,5,0.025126,0.926946,0.880831
SVM,Nitrogen,6,0.030151,0.926946,0.880831
SVM,Nitrogen,7,0.035176,0.926946,0.880831
SVM,Nitrogen,8,0.040201,0.926946,0.880831
SVM,Nitrogen,9,0.045226,0.925330,0.880831
SVM,Nitrogen,10,0.050251,0.925330,0.880831
SVM,Nitrogen,11,0.055276,0.925330,0.880831
SVM,Nitrogen,12,0.060302,0.925330,0.880831
SVM,Nitrogen,13,0.065327,0.925330,0.880831
SVM,Nitrogen,14,0.070352,0.912811,0.880831
SVM,Nitrogen,15,0.075377,0.912811,0.880831
SVM,Nitrogen,16,0.080402,0.910762,0.880831
SVM,Nitrogen,17,0.085427,0.910762,0.880831
SVM,Nitrogen,18,0.090452,0.910762,0.880831
SVM,Nitrogen,19,0.095477,0.910762,0.880831
SVM,Nitrogen,20,0.100503,0.910762,0.880831
SVM,Nitrogen,21,0.105528,0.910762,0.880831
SVM,Nitrogen,22,0.110553,0.910762,0.880831
SVM,Nitrogen,23,0.115578,0.910762,0.880831
SVM,Nitrogen,24,0.120603,0.910762,0.880831
SVM,Nitrogen,25,0.125628,0.910762,0.880831
SVM,Nitrogen,26,0.130653,0.910762,0.880831
SVM,Nitrogen,27,0.135678,0.910762,0.880831
SVM,Nitrogen,28,0.140704,0.910762,0.880831
SVM,Nitrogen,29,0.145729,0.910762,0.880831
SVM,Nitrogen,30,0.150754,0.910762,0.880831
SVM,Nitrogen,31,0.155779,0.910762,0.880831
SVM,Nitrogen,32,0.160804,0.910762,0.880831
SVM,Nitrogen,33,0.165829,0.910762,0.880831
SVM,Nitrogen,34,0.170854,0.910226,0.880831
SVM,Nitrogen,35,0.175879,0.910226,0.880831
SVM,Nitrogen,36,0.180905,0.910226,0.880831
SVM,Nitrogen,37,0.185930,0.910226,0.880831
SVM,Nitrogen,38,0.190955,0.910226,0.880831
SVM,Nitrogen,39,0.195980,0.910226,0.880831
SVM,Nitrogen,40,0.201005,0.910226,0.880831
SVM,Nitrogen,41,0.206030,0.910226,0.880831
SVM,Nitrogen,42,0.211055,0.910226,0.880831
SVM,Nitrogen,43,0.216080,0.910226,0.880831
SVM,Nitrogen,44,0.221106,0.910226,0.880831
SVM,Nitrogen,45,0.226131,0.910226,0.880831
SVM,Nitrogen,46,0.231156,0.910226,0.880831
SVM,Nitrogen,47,0.236181,0.910226,0.880831
SVM,Nitrogen,48,0.241206,0.910226,0.880831
SVM,Nitrogen,49,0.246231,0.910226,0.880831
SVM,Nitrogen,50,0.251256,0.910226,0.880831
SVM,Nitrogen,51,0.256281,0.910226,0.880831
SVM,Nitrogen,52,0.261307,0.910226,0.880831
SVM,Nitrogen,53,0.266332,0.910226,0.880831
SVM,Nitrogen,54,0.271357,0.910226,0.880831
SVM,Nitrogen,55,0.276382,0.910226,0.880831
SVM,Nitrogen,56,0.281407,0.910226,0.880831
SVM,Nitrogen,57,0.286432,0.910226,0.880831
SVM,Nitrogen,58,0.291457,0.910226,0.880831
SVM,Nitrogen,59,0.296482,0.910226,0.880831
SVM,Nitrogen,60,0.301508,0.910226,0.880831
SVM,Nitrogen,61,0.306533,0.910226,0.880831
SVM,Nitrogen,62,0.311558,0.910226,0.880831
SVM,Nitrogen,63,0.316583,0.910226,0.880831
SVM,Nitrogen,64,0.321608,0.910226,0.880831
SVM,Nitrogen,65,0.326633,0.910226,0.880831
SVM,Nitrogen,66,0.331658,0.910226,0.880831
SVM,Nitrogen,67,0.336683,0.909279,0.880831
SVM,Nitrogen,68,0.341709,0.909279,0.880831
SVM,Nitrogen,69,0.346734,0.908785,0.880831
SVM,Nitrogen,70,0.351759,0.908785,0.880831
SVM,Nitrogen,71,0.356784,0.908785,0.880831
SVM,Nitrogen,72,0.361809,0.908785,0.880831
SVM,Nitrogen,73,0.366834,0.908785,0.880831
SVM,Nitrogen,74,0.371859,0.908785,0.880831
SVM,Nitrogen,75,0.376884,0.904961,0.880831
SVM,Nitrogen,76,0.381910,0.904961,0.880831
SVM,Nitrogen,77,0.386935,0.904961,0.880831
SVM,Nitrogen,78,0.391960,0.904961,0.880831
SVM,Nitrogen,79,0.396985,0.904961,0.880831
SVM,Nitrogen,80,0.402010,0.904961,0.880831
SVM,Nitrogen,81,0.407035,0.904961,0.880831
SVM,Nitrogen,82,0.412060,0.903776,0.880831
SVM,Nitrogen,83,0.417085,0.903776,0.880831
SVM,Nitrogen,84,0.422111,0.903776,0.880831
SVM,Nitrogen,85,0.427136,0.903776,0.880831
SVM,Nitrogen,86,0.432161,0.903776,0.880831
SVM,Nitrogen,87,0.437186,0.903135,0.880831
SVM,Nitrogen,88,0.442211,0.903135,0.880831
SVM,Nitrogen,89,0.447236,0.903135,0.880831
SVM,Nitrogen,90,0.452261,0.903135,0.880831
SVM,Nitrogen,91,0.457286,0.903135,0.880831
SVM,Nitrogen,92,0.462312,0.902570,0.880831
SVM,Nitrogen,93,0.467337,0.902570,0.880831
SVM,Nitrogen,94,0.472362,0.902570,0.880831
SVM,Nitrogen,95,0.477387,0.902570,0.880831
SVM,Nitrogen,96,0.482412,0.902570,0.880831
SVM,Nitrogen,97,0.487437,0.895758,0.880831
SVM,Nitrogen,98,0.492462,0.895758,0.880831
SVM,Nitrogen,99,0.497487,0.894126,0.880831
SVM,Nitrogen,100,0.502513,0.894126,0.880831
SVM,Nitrogen,101,0.507538,0.894126,0.880831
SVM,Nitrogen,102,0.512563,0.894126,0.880831
SVM,Nitrogen,103,0.517588,0.894126,0.880831
SVM,Nitrogen,104,0.522613,0.894126,0.880831
SVM,Nitrogen,105,0.527638,0.894126,0.880831
SVM,Nitrogen,106,0.532663,0.894126,0.880831
SVM,Nitrogen,107,0.537688,0.894126,0.880831
SVM,Nitrogen,108,0.542714,0.894126,0.880831
SVM,Nitrogen,109,0.547739,0.894126,0.880831
SVM,Nitrogen,110,0.552764,0.894126,0.880831
SVM,Nitrogen,111,0.557789,0.894126,0.880831
SVM,Nitrogen,112,0.562814,0.894126,0.880831
SVM,Nitrogen,113,0.567839,0.894126,0.880831
SVM,Nitrogen,114,0.572864,0.894126,0.880831
SVM,Nitrogen,115,0.577889,0.894126,0.880831
SVM,Nitrogen,116,0.582915,0.894126,0.880831
SVM,Nitrogen,117,0.587940,0.894126,0.880831
SVM,Nitrogen,118,0.592965,0.894126,0.880831
SVM,Nitrogen,119,0.597990,0.894126,0.880831
SVM,Nitrogen,120,0.603015,0.894126,0.880831
SVM,Nitrogen,121,0.608040,0.894126,0.880831
SVM,Nitrogen,122,0.613065,0.894126,0.880831
SVM,Nitrogen,123,0.618090,0.894126,0.880831
SVM,Nitrogen,124,0.623116,0.893939,0.880831
SVM,Nitrogen,125,0.628141,0.893939,0.880831
SVM,Nitrogen,126,0.633166,0.876018,0.880831
SVM,Nitrogen,127,0.638191,0.876018,0.880831
SVM,Nitrogen,128,0.643216,0.876018,0.880831
SVM,Nitrogen,129,0.648241,0.876018,0.880831
SVM,Nitrogen,130,0.653266,0.876018,0.880831
SVM,Nitrogen,131,0.658291,0.876018,0.880831
SVM,Nitrogen,132,0.663317,0.875092,0.880831
SVM,Nitrogen,133,0.668342,0.875092,0.880831
SVM,Nitrogen,134,0.673367,0.875092,0.880831
SVM,Nitrogen,135,0.678392,0.875092,0.880831
SVM,Nitrogen,136,0.683417,0.875092,0.880831
SVM,Nitrogen,137,0.688442,0.875092,0.880831
SVM,Nitrogen,138,0.693467,0.875092,0.880831
SVM,Nitrogen,139,0.698492,0.875092,0.880831
SVM,Nitrogen,140,0.703518,0.875092,0.880831
SVM,Nitrogen,141,0.708543,0.874899,0.880831
SVM,Nitrogen,142,0.713568,0.874899,0.880831
SVM,Nitrogen,143,0.718593,0.874899,0.880831
SVM,Nitrogen,144,0.723618,0.874899,0.880831
SVM,Nitrogen,145,0.728643,0.874899,0.880831
SVM,Nitrogen,146,0.733668,0.858330,0.880831
SVM,Nitrogen,147,0.738693,0.858330,0.880831
SVM,Nitrogen,148,0.743719,0.858330,0.880831
SVM,Nitrogen,149,0.748744,0.858330,0.880831
SVM,Nitrogen,150,0.753769,0.855269,0.880831
SVM,Nitrogen,151,0.758794,0.855269,0.880831
SVM,Nitrogen,152,0.763819,0.853162,0.880831
SVM,Nitrogen,153,0.768844,0.853162,0.880831
SVM,Nitrogen,154,0.773869,0.848910,0.880831
SVM,Nitrogen,155,0.778894,0.848910,0.880831
